brand,brand_goodwill,year,age_years,horsepower,engine_size_l,mileage,fuel_type,transmission,owner_count,accident_count,doors,city_mpg,price
Subaru,7.18,2011,15,202.5,2.66,122041,Hybrid,Automatic,1,0.0,4,38.3,19099.2
Kia,6.26,2009,17,191.1,1.33,248551,Hybrid,Automatic,4,2.0,4,39.8,2500.0
Mazda,8.16,2025,1,167.8,1.64,19492,Petrol,Automatic,1,0.0,4,30.7,27213.6
BMW,8.85,2015,11,288.7,3.81,142773,Petrol,Manual,2,1.0,4,24.8,37414.08
Honda,7.85,2009,17,209.0,1.0,215231,Diesel,Automatic,1,0.0,4,27.0,4552.61
Ford,6.13,2022,4,194.9,2.1,54149,Hybrid,Automatic,1,1.0,2,36.1,19658.8
Kia,6.41,2017,9,180.4,2.34,125472,Petrol,Automatic,1,0.0,2,23.0,12338.83
Mazda,7.15,2021,5,219.0,1.75,66394,Petrol,Automatic,3,0.0,4,30.2,23027.17
Ford,5.92,2020,6,182.2,1.63,80402,Diesel,Automatic,1,0.0,4,32.2,17568.54
Honda,7.72,2016,10,160.8,1.35,101422,Diesel,Automatic,4,0.0,4,32.2,17494.87
Volkswagen,7.17,2023,3,150.3,1.0,26606,Petrol,Automatic,3,1.0,4,,21492.98
Chevrolet,6.31,2013,13,233.0,2.09,191830,Petrol,Automatic,2,0.0,4,32.2,6803.62
Lexus,9.25,2026,0,273.7,3.17,500,Petrol,Manual,3,0.0,4,27.4,56858.87
Chevrolet,6.29,2025,1,167.7,2.77,20965,Petrol,Manual,1,0.0,4,27.1,21003.72
Nissan,5.96,2014,12,153.2,2.45,142998,Petrol,Automatic,1,1.0,4,23.8,3323.13
Ford,6.37,2026,0,207.5,1.07,500,Petrol,Automatic,2,1.0,4,26.9,26049.04
Nissan,5.97,2008,18,182.7,2.16,313083,Hybrid,Automatic,2,0.0,2,34.4,2500.0
Ford,6.43,2026,0,148.1,1.63,500,Hybrid,Automatic,1,0.0,4,47.2,32002.97
Toyota,8.35,2014,12,190.2,3.21,139056,Petrol,Automatic,1,0.0,2,26.7,17547.86
Toyota,8.69,2013,13,210.4,2.11,169984,Hybrid,Manual,1,0.0,4,48.5,17391.16
Kia,6.29,2010,16,146.6,2.83,206323,Hybrid,Manual,4,2.0,4,37.5,2500.0
Volkswagen,7.59,2008,18,103.0,1.83,227011,Petrol,Automatic,1,0.0,4,32.3,2500.0
Hyundai,6.38,2020,6,170.0,2.91,109068,Petrol,Manual,2,1.0,4,24.5,12422.25
Ford,6.81,2025,1,174.3,2.82,23355,Petrol,Manual,1,1.0,4,31.2,20777.52
Lexus,9.11,2017,9,231.3,2.73,96164,Diesel,Automatic,2,1.0,4,17.7,41892.98
Honda,7.57,2019,7,224.3,2.26,98923,Diesel,Automatic,3,1.0,4,27.3,19662.53
Honda,8.6,2010,16,148.2,,152196,Hybrid,Automatic,1,3.0,4,37.0,3399.35
Nissan,6.22,2021,5,183.2,2.92,29707,Petrol,Automatic,1,1.0,2,16.4,19554.46
Chevrolet,6.38,2019,7,201.1,,91463,Petrol,Automatic,2,0.0,4,30.6,16241.69
Toyota,8.83,2009,17,120.2,1.09,116740,Petrol,Manual,3,2.0,2,24.2,4375.06
Nissan,6.07,2009,17,217.1,0.0,189759,Electric,Automatic,2,0.0,4,12.0,6387.65
Honda,7.99,2011,15,147.9,1.54,198308,Diesel,Automatic,3,0.0,4,33.3,4977.73
Lexus,9.25,2025,1,274.8,3.44,18577,Petrol,Automatic,1,0.0,4,29.6,57431.19
Ford,5.67,2017,9,146.5,1.68,109769,Petrol,Automatic,2,1.0,4,31.1,7924.49
Volkswagen,6.54,2026,0,296.6,0.0,500,Electric,Automatic,2,0.0,4,12.0,39721.44
Toyota,8.39,2017,9,193.6,1.78,124102,Petrol,Manual,3,0.0,4,24.4,12759.35
Hyundai,6.58,2016,10,252.6,2.3,126147,Petrol,Automatic,1,0.0,4,31.3,14200.63
BMW,9.45,2013,13,241.2,2.58,207138,Petrol,Automatic,1,1.0,4,26.2,32283.99
Audi,8.78,2011,15,217.4,3.65,219680,Petrol,Automatic,3,1.0,4,27.2,28223.1
Hyundai,7.08,2017,9,199.9,2.27,124508,Hybrid,Automatic,3,0.0,4,31.8,13382.19
Hyundai,6.93,2008,18,332.9,0.0,255130,Electric,Automatic,2,0.0,4,12.0,8651.37
